Feature,Component_1,Component_2,Component_3,Component_4,Component_5,Component_6,Component_7,Component_8,Component_9,Component_10,Component_11,Component_12,Component_13,Component_14,Component_15,Component_16,Component_17,Component_18,Component_19,Component_20,Component_21,Component_22,Component_23,Component_24,Component_25,Component_26,Component_27,Component_28,Component_29
percent_renteroccupied,-0.08488994521887742,0.1424557970355141,-0.048759852269419646,-0.18590043737021883,-0.061922765842567264,0.03802305739583084,0.07729039606270283,-0.09347833581148962,-0.06597616017064428,0.2444263510623928,0.02454448010473579,-0.00823266395255387,-0.1212354531416303,-0.04096870187133312,0.02415905532982967,-0.013163146283703658,-0.0005180890882082734,-0.060670802404845466,-0.06622142773896772,-0.04670752744481865,-0.01669536900783375,0.024190369358693675,0.061243312746166866,-0.20116831364917265,0.11769686136986902,-0.1607570811291583,-0.204715446808155,-0.2771149522454213,-0.0773134399987326
median_age,0.1681949766571839,-0.07486970977736332,0.08872345878141315,-0.03685269041560081,-0.009661238281544823,-0.0899051566552893,0.03412447062823709,-0.06040565812417309,-0.05420309707187687,0.03564697477071385,0.004622993706383992,0.003304039833389172,-0.006450864260152955,0.00045556485481296205,-0.0005154745805126537,-0.008375573946544361,0.016929857226311195,-0.018972563641008064,-0.09401986118502878,0.14554869643595045,0.0011309961474716967,-0.0324360088628244,0.012804600334132027,0.012579334945216882,0.021167647494499675,0.04150805304180033,-0.06667728642132695,0.04875396231441605,-0.026458669096328154
percent_under5,-0.029850887773826728,0.09869241414004926,0.1787707542852444,0.1420083305286901,-0.17658140246436918,0.10198724724481063,-0.03532610885558907,-0.10337730102786863,0.06729521054908905,-0.04009392533631512,-0.12086972850338906,-0.17880020672955618,-0.08378505159704422,0.06334836756060183,0.027716314195549957,0.13018786946807362,0.013680367169194407,-0.07294905035098519,0.08692544028950236,-0.06263882827747135,-0.057191210878517695,0.08415032809309073,-0.10326158235631616,0.07430067953404035,0.17747932342603745,-0.020584204872932443,0.06723123401222267,-0.021414013144659183,-0.09020261584583372
percent_5to9,0.025625740843983773,0.16968779156403863,0.14789305504016093,0.09871776370301462,-0.09119265143114834,0.08391270646194321,-0.10890443224429538,-0.013045784935777682,-0.00960027868903976,-0.008422402485187719,-0.03976767740207156,-0.010524676448557313,0.0544399668163606,0.03402298108737581,-0.03784233340573338,-0.0023154419211241194,-0.03409322672166892,0.0504655899785022,-0.06420464759670697,-0.058360637012075195,-0.03368191051391822,-0.09065968335495832,0.10742612425520964,-0.10901340672437226,0.011396972308398517,0.020717279946122824,0.04663234292719867,0.03468833552522783,0.09731322504519635
percent_10to14,0.050636417426192924,0.19442171388912347,0.09535273422119067,0.037337804709470866,-0.0669137757732252,0.06552270134575752,-0.09223884275442701,0.02484331656643514,0.019101337973930932,-0.042618011295244534,0.0480817551472102,0.005647582436687504,0.13265702579263772,-0.029421901751896004,-0.10259082606637786,-0.07977611351416689,-0.06599090356109955,0.048145726865551,-0.0661564969881903,0.02334611957881365,0.001661312873664833,-0.022741431228913284,0.10807427488743493,-0.08975525011038571,-0.06536148106113798,0.07382400735505401,-0.11781376224821688,-0.0163640875637642,0.018706261406457952
percent_15to19,0.009127132733493457,0.10716179947781788,-0.13742529434693326,0.21793408841003348,0.09282330190285487,-0.017482527040399806,0.22910618983336625,0.15675712719771787,-0.2113374043722731,-0.050728038694137306,-0.19756370850832214,0.08434911547574042,-0.015346139225104943,-0.05144883599164185,-0.020963483354525025,-0.0023239706887700773,-0.006449496012647105,-0.033816083606540676,0.04287961611409949,-0.019191473286557837,0.06432509273793396,-0.0323151928594516,0.004931545314030672,-0.03155231611383312,0.04109986782775716,-0.018189467431802275,-0.03398429504296199,-0.029148455127944728,0.012959196115300893
percent_20to24,-0.05258607090387272,0.03383281416062786,-0.2279234706947685,0.10136345587946854,0.09007014052635873,0.018316559486031093,-0.12656994774691196,-0.06866929777082931,0.19848842112515952,0.07323500065148478,0.1925386203062716,0.05574505808502351,-0.03259794593006404,0.05267212433736785,0.15661973187143122,0.05080780925098902,-0.0070524900689088454,0.0734230206918826,0.003127735055899382,0.038714421115037326,-0.07423815147119855,0.028304243287928563,0.035631408773661194,0.0012370147796658716,-0.038872159471612405,0.05751882624711083,-0.02447937351663723,0.004971037823992566,0.0009162001254710058
percent_25to29,-0.1328180102005762,-0.0839246363187904,-0.10190205153669624,-0.17956512058978835,-0.06319239826361914,0.017734266407417626,-0.13956514852632404,0.03327917455040113,-0.05987244967664623,-0.06811634939942615,-0.010837757258509627,-0.046011544489219514,0.1416314462166811,-0.029235294389259453,-0.11650578457633182,-0.04492762149068405,0.002211245749802193,-0.0340997335450433,-0.028485583078841942,0.010549123617275138,0.03547650564874977,-0.051014460506708034,-0.045199533336295075,0.0506607080324205,0.05190940778965908,-0.09312072268895141,0.11083100662528758,-0.01290843649113118,-0.05111241060898634
percent_30to34,-0.15064090726826213,-0.1154691798785175,0.05616531498865543,-0.11301893860533545,-0.0733224220359276,-0.03742548310858189,0.08001484323062821,-0.012819474157936191,-0.013559992218885902,-0.012138956253777866,-0.04795358326905377,-0.061647866962938724,-0.048590484366940745,0.01495607374595051,-0.07826669256354449,-0.05493094136757591,0.027525177646385568,-0.05665794939568112,-0.02806438901325326,-0.011249580263856947,0.004632056976658971,0.03801683673712562,-0.025785729049657174,0.03914439291998567,-0.07932751034455265,-0.007591321854895777,-0.10367490505165819,0.028228983156186133,0.017915260912106254
percent_35to39,-0.12714792786845686,-0.09111643963423213,0.16541347205878862,-0.028774638001965593,-0.03727152169440118,-0.05467231243146002,0.1357869836342478,-0.03344744795781438,-0.00026281664962631013,0.046921606582357896,-0.005775881008231908,0.0035312309931808117,-0.10576177505731515,0.0029904496769549704,0.08245718247518835,0.004499327982260715,0.04676122817159943,0.03473040369838645,-0.015283870546777087,0.038921905631126304,-0.005437322306896988,0.014884445119790111,-0.03782395078985387,0.01185678119629921,-0.07963317980219299,0.08106971791382747,0.0018090726216074826,0.06332736634850325,-0.007845030649114317
percent_40to44,-0.07178577909309819,-0.03328606128228241,0.23899352509843882,0.01068926866075498,0.05132667875460724,-0.031117284818113582,0.13585254534146482,-0.0010024538825485207,0.040801767329273056,0.026033288503028433,0.045841671057613234,0.08185599870586113,-0.012065932035004556,-0.07965135183334443,0.14149315668733708,0.07639574306365084,-0.006680261098642615,0.045419031569968696,0.01520409995519397,0.09904325965923806,-0.02743492525067448,0.006349538798198023,0.03324419867578281,-0.1478304342780904,-0.02994171381645437,0.07091000141589301,0.03795077638603464,-0.007305791415883077,0.08169183191120552
percent_45to49,0.017531367063907777,0.007964159087743937,0.2334193530517107,0.004980040855891601,0.19441586436600386,0.02805815801927667,-0.008580447641652847,0.036035194517680155,-0.04087869150792357,0.12660999833184552,0.15209806467603856,0.1271650330322472,0.12553386714125175,-0.08122049875066684,0.035846994740818205,-0.011325195163869456,-0.04521601263610546,-0.06680372554100729,0.03857468023365143,-0.14188234985118922,0.06546078662699073,0.011542874888113092,0.09029937392383225,0.31301778022252186,0.09713635777307608,-0.11273756943110994,-0.008265207250791773,-0.05852416757673451,0.00556127839836253
percent_50to54,0.10313867971148206,0.04654901972798688,0.14016900055452075,-0.08295117491796147,0.272526284447047,0.06805964138498487,-0.058619324152751916,-0.006725127087598374,-0.017705942891589495,0.0750381093719151,-0.028927512886342155,0.017834283092496565,0.05333032077009345,-0.09677521450500473,-0.14559028963124135,0.023350069236398763,-0.011285063785693897,0.06826517075432045,0.1127229859385292,0.024819893219129426,-0.02415450867669653,0.030122441536615068,-0.22113710706226453,-0.17464114795373917,-0.10848922591250437,-0.014874636806066432,0.01463575511926668,0.07742883361683225,-0.20759306975645292
percent_55to59,0.15595125762843587,0.046040675222765975,0.04268514938259145,-0.12348192062858297,0.18891664555128104,0.046231336013332305,-0.046801014779070366,0.008629211496027531,0.04383376553482114,-0.10738803374930624,-0.0293990025749169,-0.07254626922973814,-0.1032060596477071,-0.0004115954195051258,-0.020440075125512103,-0.054122810829069834,0.12419116077699086,-0.12149288644048081,0.01266718145422821,0.03319662297808623,-0.07637631271085726,0.0065987470858951056,-0.030402610089422993,-0.012208814960244535,0.06292031694970418,-0.08102592249040508,0.029799578615324174,0.013260363776282924,0.22082231449867273
percent_60to64,0.17682376195041558,0.020061589597224917,0.021999390325892352,-0.10931393225499876,0.09787151707901752,-0.03095522438114773,-0.015423009695581021,0.015337786155372925,0.006779601202609611,-0.0007915894692903961,-0.018510141106324596,-0.07196204384897704,-0.16056936839575364,0.06482461836487188,0.057102732856388234,-0.0610366374488408,0.10690172467017486,0.0005645291574104538,-0.1562043698590378,-0.05896978237965402,0.006726586352852948,-0.02290217680954689,-0.04779418553291356,-0.009614361979873896,0.059337091089840865,0.028796286870176074,-0.019725870693228467,-0.09004383406881239,0.15547486537614663
