Grid ID,Min Lat,Max Lat,Min Long,Max Long,NAMELSAD,AREALAND,AREAWATR,AREALAND_SQMI,AREAWATR_SQMI,total_population,"Ride Count (Average, NYC Norm)","Ride Count (Model 1, NYC Norm)","Ride Count (Model 2, NYC Norm)","Ride Count (Average, ATL Norm)","Ride Count (Model 1, ATL Norm)","Ride Count (Model 2, ATL Norm)"
61,33.70276596,33.70553191,-84.34181818,-84.33818182,0,102759.9796,671.5523687,0.039677153,0.000256395,0,24848.613,30924.088,18773.14,52399.246,20803.0421072444,25579.5346971097
62,33.70276596,33.70553191,-84.33818182,-84.33454545,0,102762.8729,655.1906544,0.039675479,0.000247367,0,24848.613,30924.088,18773.14,52399.246,35914.1099674965,25579.5346971097
63,33.70276596,33.70553191,-84.33454545,-84.33090909,0,102765.693,639.2427966,0.039673849,0.000238568,0,24848.613,30924.088,18773.14,52399.246,35914.1099674965,25579.5346971097
64,33.70276596,33.70553191,-84.33090909,-84.32727273,0,102764.8793,643.8442872,0.039674319,0.000241107,0,24848.613,30924.088,18773.14,52399.246,16071.6788134517,25579.5346971097
65,33.70276596,33.70553191,-84.32727273,-84.32363636,0,102760.2415,670.0713027,0.039677001,0.000255578,0,24848.613,30924.088,18773.14,52399.246,16071.6788134517,25579.5346971097
66,33.70276596,33.70553191,-84.32363636,-84.32,0,103062.2788,361.2091774,0.03979779,0.000139516,0,24848.613,30924.088,18773.14,52399.246,35914.1099674965,25579.5346971097
67,33.70553191,33.70829787,-84.44,-84.43636364,0,103418.1913,0,0.039917853,0,130.1910951,24231.158,29576.615,18885.701,23570.625,35914.1099674965,25579.5346971097
68,33.70553191,33.70829787,-84.43636364,-84.43272727,0,103418.1913,0,0.039917853,0,130.1910951,24231.158,29576.615,18885.701,23570.625,35914.1099674965,25579.5346971097
69,33.70553191,33.70829787,-84.43272727,-84.42909091,0,103418.1913,0,0.039917853,0,130.1910951,24231.158,29576.615,18885.701,23570.625,35914.1099674965,25579.5346971097
70,33.70553191,33.70829787,-84.42909091,-84.42545455,0,103414.2434,0,0.039930308,0,115.7628301,24744.951,30590.453,18899.45,18394.508,35914.1099674965,25579.5346971097
71,33.70553191,33.70829787,-84.42545455,-84.42181818,0,103412.4021,0,0.039936116,0,109.0336383,25398.023,31890.18,18905.867,24559.512,15348.0859314929,25579.5346971097
