GEO_ID,NAME,AREALAND,AREAWATR,AREALAND_SQMI,AREAWATR_SQMI,INTPTLAT,INTPTLON
1400000US13015960902,Census Tract 9609.02; Bartow County; Georgia,36656198,172819,14.153,0.067,34.1724938,-84.8702772
1400000US13015961001,Census Tract 9610.01; Bartow County; Georgia,84072208,2165215,32.46,0.836,34.1624701,-84.9641642
1400000US13015961002,Census Tract 9610.02; Bartow County; Georgia,93355771,274959,36.045,0.106,34.1223791,-84.990613
1400000US13017960100,Census Tract 9601; Ben Hill County; Georgia,297108635,4520577,114.714,1.745,31.7436857,-83.1094969
1400000US13017960200,Census Tract 9602; Ben Hill County; Georgia,233144634,2928137,90.018,1.131,31.7996043,-83.3416086
1400000US13017960300,Census Tract 9603; Ben Hill County; Georgia,28973847,417091,11.187,0.161,31.7258594,-83.3033334
1400000US13017960400,Census Tract 9604; Ben Hill County; Georgia,11621163,167651,4.487,0.065,31.7247864,-83.22735
1400000US13017960501,Census Tract 9605.01; Ben Hill County; Georgia,49152439,727543,18.978,0.281,31.6858262,-83.1983753
1400000US13017960502,Census Tract 9605.02; Ben Hill County; Georgia,27801405,1053375,10.734,0.407,31.6846383,-83.2690744
1400000US13019970100,Census Tract 9701; Berrien County; Georgia,244576660,1116249,94.432,0.431,31.3926459,-83.1997522
1400000US13019970200,Census Tract 9702; Berrien County; Georgia,242980931,4956266,93.815,1.914,31.3714641,-83.3384099
1400000US13019970300,Census Tract 9703; Berrien County; Georgia,150782727,1060103,58.218,0.409,31.2406903,-83.2961258
1400000US13019970400,Census Tract 9704; Berrien County; Georgia,265421807,3285082,102.48,1.268,31.2702653,-83.1287394
1400000US13019970500,Census Tract 9705; Berrien County; Georgia,142475280,892273,55.01,0.345,31.1742562,-83.1839001
1400000US13019970600,Census Tract 9706; Berrien County; Georgia,128002165,361152,49.422,0.139,31.0800024,-83.2320385
1400000US13021010100,Census Tract 101; Bibb County; Georgia,1369440,0,0.529,0,32.8465487,-83.6454904
1400000US13021010200,Census Tract 102; Bibb County; Georgia,1472467,0,0.569,0,32.845254,-83.6577105
1400000US13021010400,Census Tract 104; Bibb County; Georgia,2178051,0,0.841,0,32.8260135,-83.6645028
1400000US13021010500,Census Tract 105; Bibb County; Georgia,1359845,0,0.525,0,32.8259281,-83.6505564
1400000US13021010800,Census Tract 108; Bibb County; Georgia,1821673,52088,0.703,0.02,32.8422762,-83.6369962
1400000US13021011001,Census Tract 110.01; Bibb County; Georgia,9763975,270421,3.77,0.104,32.8706143,-83.6346948
1400000US13021011002,Census Tract 110.02; Bibb County; Georgia,4105001,40799,1.585,0.016,32.8815212,-83.6173044
1400000US13021011100,Census Tract 111; Bibb County; Georgia,3780892,0,1.46,0,32.8593327,-83.6052089
1400000US13021011500,Census Tract 115; Bibb County; Georgia,1087946,0,0.42,0,32.8188144,-83.6430662
1400000US13021011701,Census Tract 117.01; Bibb County; Georgia,4238296,57655,1.636,0.022,32.8727164,-83.5959332
1400000US13021011702,Census Tract 117.02; Bibb County; Georgia,8777705,276907,3.389,0.107,32.8598063,-83.566813
1400000US13021011800,Census Tract 118; Bibb County; Georgia,4297469,7919,1.659,0.003,32.8593789,-83.6761928
1400000US13021011900,Census Tract 119; Bibb County; Georgia,3432393,110785,1.325,0.043,32.8588167,-83.654242
1400000US13021012000,Census Tract 120; Bibb County; Georgia,8717136,232604,3.366,0.09,32.8801073,-83.6679269
1400000US13021012101,Census Tract 121.01; Bibb County; Georgia,4897207,0,1.891,0,32.867721,-83.7111399
1400000US13021012102,Census Tract 121.02; Bibb County; Georgia,7373656,0,2.847,0,32.8826735,-83.6957987
1400000US13021012200,Census Tract 122; Bibb County; Georgia,3844593,23791,1.484,0.009,32.853688,-83.704563
1400000US13021012400,Census Tract 124; Bibb County; Georgia,4452557,12213,1.719,0.005,32.83842,-83.6940133
1400000US13021012500,Census Tract 125; Bibb County; Georgia,3378309,9302,1.304,0.004,32.8187367,-83.682639
1400000US13021012600,Census Tract 126; Bibb County; Georgia,6855524,37119,2.647,0.014,32.8050318,-83.6711251
1400000US13021012700,Census Tract 127; Bibb County; Georgia,1927365,0,0.744,0,32.8102528,-83.650433
1400000US13021012800,Census Tract 128; Bibb County; Georgia,2069062,0,0.799,0,32.7977216,-83.6533026
1400000US13021012900,Census Tract 129; Bibb County; Georgia,2060809,0,0.796,0,32.787321,-83.6574695
1400000US13021013101,Census Tract 131.01; Bibb County; Georgia,8293139,27677,3.202,0.011,32.7820838,-83.7029503
1400000US13021013102,Census Tract 131.02; Bibb County; Georgia,5089477,4236,1.965,0.002,32.7941834,-83.6900122
1400000US13021013201,Census Tract 132.01; Bibb County; Georgia,11191758,159044,4.321,0.061,32.8288233,-83.7188298
1400000US13021013202,Census Tract 132.02; Bibb County; Georgia,4782031,17928,1.846,0.007,32.8067378,-83.7033874
1400000US13021013302,Census Tract 133.02; Bibb County; Georgia,31057342,157096,11.991,0.061,32.8311998,-83.5255288
1400000US13021013407,Census Tract 134.07; Bibb County; Georgia,7914474,17650,3.056,0.007,32.9023405,-83.7077619
