Grid ID,Min Lat,Max Lat,Min Long,Max Long,NAMELSAD,AREALAND,AREAWATR,AREALAND_SQMI,AREAWATR_SQMI,total_population,"Ride Count (Average, NYC Norm)","Ride Count (Model 1, NYC Norm)","Ride Count (Model 2, NYC Norm)","Ride Count (Average, ATL Norm)","Ride Count (Model 1, ATL Norm)","Ride Count (Model 2, ATL Norm)"
56,33.70276596,33.70553191,-84.36,-84.35636364,0,103421.4558,0,0.039898999,0,191.3234714,45914.46,74272.14,17556.781,10642.764,19792.96,1492.5674
57,33.70276596,33.70553191,-84.35636364,-84.35272727,0,103428.6685,0,0.039943706,0,110.1144676,24699.217,30896.023,18502.41,25114.395,37941.207,12287.581
58,33.70276596,33.70553191,-84.35272727,-84.34909091,0,103354.5011,75.58265175,0.03992048,2.89E-05,85.41566973,24176.848,29695.72,18657.977,24303.242,33988.19,14618.294
59,33.70276596,33.70553191,-84.34909091,-84.34545455,0,102759.9796,671.5523687,0.039677153,0.000256395,0,24848.613,30924.088,18773.14,52399.246,80863.37,23935.127
60,33.70276596,33.70553191,-84.34545455,-84.34181818,0,102759.9796,671.5523687,0.039677153,0.000256395,0,24848.613,30924.088,18773.14,52399.246,80863.37,23935.127
61,33.70276596,33.70553191,-84.34181818,-84.33818182,0,102759.9796,671.5523687,0.039677153,0.000256395,0,24848.613,30924.088,18773.14,52399.246,80863.37,23935.127
62,33.70276596,33.70553191,-84.33818182,-84.33454545,0,102762.8729,655.1906544,0.039675479,0.000247367,0,24848.613,30924.088,18773.14,52399.246,80863.37,23935.127
63,33.70276596,33.70553191,-84.33454545,-84.33090909,0,102765.693,639.2427966,0.039673849,0.000238568,0,24848.613,30924.088,18773.14,52399.246,80863.37,23935.127
64,33.70276596,33.70553191,-84.33090909,-84.32727273,0,102764.8793,643.8442872,0.039674319,0.000241107,0,24848.613,30924.088,18773.14,52399.246,80863.37,23935.127
65,33.70276596,33.70553191,-84.32727273,-84.32363636,0,102760.2415,670.0713027,0.039677001,0.000255578,0,24848.613,30924.088,18773.14,52399.246,80863.37,23935.127
66,33.70276596,33.70553191,-84.32363636,-84.32,0,103062.2788,361.2091774,0.03979779,0.000139516,0,24848.613,30924.088,18773.14,52399.246,80863.37,23935.127
67,33.70553191,33.70829787,-84.44,-84.43636364,0,103418.1913,0,0.039917853,0,130.1910951,24231.158,29576.615,18885.701,23570.625,30521.3,16619.947
68,33.70553191,33.70829787,-84.43636364,-84.43272727,0,103418.1913,0,0.039917853,0,130.1910951,24231.158,29576.615,18885.701,23570.625,30521.3,16619.947
69,33.70553191,33.70829787,-84.43272727,-84.42909091,0,103418.1913,0,0.039917853,0,130.1910951,24231.158,29576.615,18885.701,23570.625,30521.3,16619.947
70,33.70553191,33.70829787,-84.42909091,-84.42545455,0,103414.2434,0,0.039930308,0,115.7628301,24744.951,30590.453,18899.45,18394.508,19524.426,17264.588
71,33.70553191,33.70829787,-84.42545455,-84.42181818,0,103412.4021,0,0.039936116,0,109.0336383,25398.023,31890.18,18905.867,24559.512,31600.896,17518.127
72,33.70553191,33.70829787,-84.42181818,-84.41818182,0,103412.3808,0,0.039936046,0,109.0821798,25387.023,31870.145,18903.902,24440.836,31387.371,17494.3
73,33.70553191,33.70829787,-84.41818182,-84.41454545,0,103409.2394,0,0.039925631,0,116.2244553,24743.777,30729.844,18757.713,28635.297,40309.73,16960.863
74,33.70553191,33.70829787,-84.41454545,-84.41090909,0,103409.2394,0,0.039925631,0,116.2244553,24743.777,30729.844,18757.713,28635.297,40309.73,16960.863
75,33.70553191,33.70829787,-84.41090909,-84.40727273,0,103401.5051,11.34413342,0.039921215,4.98E-06,114.7630468,24609.234,30468.11,18750.361,27412.766,37982.953,16842.578
76,33.70553191,33.70829787,-84.40727273,-84.40363636,0,103398.8874,15.18361731,0.03991972,6.67E-06,114.2684251,24577.746,30407.613,18747.877,27060.117,37305.617,16814.62
77,33.70553191,33.70829787,-84.40363636,-84.4,0,103411.6503,0,0.03995441,0,223.4297732,24390.203,30358.555,18421.854,27050.89,48401.133,5700.6504
78,33.70553191,33.70829787,-84.4,-84.39636364,0,103004.1846,410.289145,0.03978663,0.000161621,186.6131052,24199.168,29976.482,18421.854,28354.037,49015.137,7692.9365
79,33.70553191,33.70829787,-84.39636364,-84.39272727,0,102247.7358,1171.167109,0.039465867,0.000461347,82.53153842,24227.363,29803.705,18651.02,17057.54,18896.008,15219.068
80,33.70553191,33.70829787,-84.39272727,-84.38909091,0,103120.4474,293.3838746,0.03984802,0.00011557,263.6878956,33070.996,48605.96,17536.03,34838.79,66897.28,2780.297
81,33.70553191,33.70829787,-84.38909091,-84.38545455,0,102555.8368,861.2770719,0.039601232,0.000339275,148.7632437,26119.309,33816.76,18421.854,26994.746,42563.477,11426.017
82,33.70553191,33.70829787,-84.38545455,-84.38181818,0,102193.158,1226.064496,0.039442708,0.000482972,74.94114474,24342.857,30002.738,18682.977,17869.48,20183.768,15555.192
83,33.70553191,33.70829787,-84.38181818,-84.37818182,0,102193.158,1226.064496,0.039442708,0.000482972,74.94114474,24342.857,30002.738,18682.977,17869.48,20183.768,15555.192
84,33.70553191,33.70829787,-84.37818182,-84.37454545,0,102671.5462,754.2326606,0.039629981,0.000294827,71.67344409,24324.482,29931.46,18717.504,23159.984,30517.197,15802.773
85,33.70553191,33.70829787,-84.37454545,-84.37090909,0,103241.0958,192.4887571,0.03985294,7.08E-05,67.78305184,24521.568,30284.44,18758.697,26340.475,37242.59,15438.358
86,33.70553191,33.70829787,-84.37090909,-84.36727273,0,103287.2457,141.0114975,0.039869925,5.19E-05,49.65583334,24583.363,30404.162,18762.562,30225.969,44315.61,16136.329
87,33.70553191,33.70829787,-84.36727273,-84.36363636,0,103415.8504,0,0.03991023,0,59.30246125,27637.363,36722.504,18552.22,48612.652,78923.88,18301.424
88,33.70553191,33.70829787,-84.36363636,-84.36,0,103420.7519,0,0.039896282,0,192.2597638,47383.46,77191.375,17575.545,10303.822,19167.469,1440.1754
89,33.70553191,33.70829787,-84.36,-84.35636364,0,103423.2634,0,0.039910203,0,170.9710894,39258.055,60302.184,18213.926,13730.341,25430.273,2030.4084
90,33.70553191,33.70829787,-84.35636364,-84.35272727,0,103429.7335,0,0.039950307,0,98.12353191,24074.418,29523.998,18624.836,21551.36,29151.79,13950.93
91,33.70553191,33.70829787,-84.35272727,-84.34909091,0,103353.0707,77.01650604,0.039919895,2.94E-05,85.21016663,24178.035,29698.184,18657.887,24374.373,34117.285,14631.461
92,33.70553191,33.70829787,-84.34909091,-84.34545455,0,102759.9796,671.5523687,0.039677153,0.000256395,0,24848.613,30924.088,18773.14,52399.246,80863.37,23935.127
93,33.70553191,33.70829787,-84.34545455,-84.34181818,0,102760.683,667.574504,0.039676746,0.0002542,0,24848.613,30924.088,18773.14,52399.246,80863.37,23935.127
94,33.70553191,33.70829787,-84.34181818,-84.33818182,0,102762.2912,658.4803824,0.039675816,0.000249183,0,24848.613,30924.088,18773.14,52399.246,80863.37,23935.127
95,33.70553191,33.70829787,-84.33818182,-84.33454545,0,102764.4152,646.4687885,0.039674587,0.000242555,0,24848.613,30924.088,18773.14,52399.246,80863.37,23935.127
96,33.70553191,33.70829787,-84.33454545,-84.33090909,0,102765.693,639.2427966,0.039673849,0.000238568,0,24848.613,30924.088,18773.14,52399.246,80863.37,23935.127
97,33.70553191,33.70829787,-84.33090909,-84.32727273,0,102764.5904,645.4782895,0.039674486,0.000242008,0,24848.613,30924.088,18773.14,52399.246,80863.37,23935.127
98,33.70553191,33.70829787,-84.32727273,-84.32363636,0,102760.0334,671.2484853,0.039677122,0.000256227,0,24848.613,30924.088,18773.14,52399.246,80863.37,23935.127
99,33.70553191,33.70829787,-84.32363636,-84.32,0,102929.24,497.7881336,0.039744699,0.000190953,0,24848.613,30924.088,18773.14,52399.246,80863.37,23935.127
100,33.70829787,33.71106383,-84.44,-84.43636364,0,103418.1913,0,0.039917853,0,130.1910951,24231.158,29576.615,18885.701,23570.625,30521.3,16619.947
101,33.70829787,33.71106383,-84.43636364,-84.43272727,0,103418.1913,0,0.039917853,0,130.1910951,24231.158,29576.615,18885.701,23570.625,30521.3,16619.947
102,33.70829787,33.71106383,-84.43272727,-84.42909091,0,103418.1913,0,0.039917853,0,130.1910951,24231.158,29576.615,18885.701,23570.625,30521.3,16619.947
103,33.70829787,33.71106383,-84.42909091,-84.42545455,0,103414.9155,0,0.039928187,0,118.2193065,24611.742,30326.377,18897.107,17891.797,18264.65,17518.945
104,33.70829787,33.71106383,-84.42545455,-84.42181818,0,103412.4021,0,0.039936116,0,109.0336383,25398.023,31890.18,18905.867,24559.512,31600.896,17518.127
105,33.70829787,33.71106383,-84.42181818,-84.41818182,0,103412.3986,0,0.039936105,0,109.0416519,25396.203,31886.865,18905.543,24539.86,31565.533,17514.186
106,33.70829787,33.71106383,-84.41818182,-84.41454545,0,103409.2432,0,0.039925644,0,116.2159453,24744.219,30730.723,18757.713,28581.842,40202.043,16961.64
107,33.70829787,33.71106383,-84.41454545,-84.41090909,0,103409.2394,0,0.039925631,0,116.2244553,24743.777,30729.844,18757.713,28635.297,40309.73,16960.863
108,33.70829787,33.71106383,-84.41090909,-84.40727273,0,103409.2394,0,0.039925631,0,116.2244553,24743.777,30729.844,18757.713,28635.297,40309.73,16960.863
109,33.70829787,33.71106383,-84.40727273,-84.40363636,0,103409.2394,0,0.039925631,0,116.2244553,24743.777,30729.844,18757.713,28635.297,40309.73,16960.863
110,33.70829787,33.71106383,-84.40363636,-84.4,0,103410.8569,0,0.039944939,0,188.148851,24393.39,30364.926,18421.854,25500.88,41082.293,9919.468
111,33.70829787,33.71106383,-84.4,-84.39636364,0,103412.0853,0,0.039959604,0,242.777824,24485.854,30529.162,18442.545,25165.896,46251.547,4080.2454
112,33.70829787,33.71106383,-84.39636364,-84.39272727,0,103329.2333,83.34697514,0.039927569,3.28E-05,247.0265296,24789.684,31157.512,18421.854,27664.84,52213.84,3115.8394
113,33.70829787,33.71106383,-84.39272727,-84.38909091,0,103412.1354,0,0.039975515,0,323.0600449,36015.035,53975.504,18054.568,33152.074,65345.465,958.68744
