Grid ID,Min Lat,Max Lat,Min Long,Max Long
2930,40.77033151,40.77309271,-73.98475246,-73.98117979
2931,40.77033151,40.77309271,-73.98117979,-73.97760711
2932,40.77033151,40.77309271,-73.97760711,-73.97403443
2933,40.77033151,40.77309271,-73.97403443,-73.97046175
2934,40.77033151,40.77309271,-73.97046175,-73.96688907
2935,40.77033151,40.77309271,-73.96688907,-73.96331639
2936,40.77033151,40.77309271,-73.96331639,-73.95974371
2937,40.77033151,40.77309271,-73.95974371,-73.95617104
2938,40.77033151,40.77309271,-73.95617104,-73.95259836
2939,40.77033151,40.77309271,-73.95259836,-73.94902568
2940,40.77033151,40.77309271,-73.94902568,-73.945453
2941,40.77033151,40.77309271,-73.945453,-73.94188032
2942,40.77033151,40.77309271,-73.94188032,-73.93830764
2943,40.77033151,40.77309271,-73.93830764,-73.93473496
2944,40.77033151,40.77309271,-73.93473496,-73.93116229
2945,40.77033151,40.77309271,-73.93116229,-73.92758961
2946,40.77033151,40.77309271,-73.92758961,-73.92401693
2947,40.77033151,40.77309271,-73.92401693,-73.92044425
2948,40.77033151,40.77309271,-73.92044425,-73.91687157
2949,40.77033151,40.77309271,-73.91687157,-73.91329889
2950,40.77033151,40.77309271,-73.91329889,-73.90972621
2951,40.77033151,40.77309271,-73.90972621,-73.90615354
2952,40.77033151,40.77309271,-73.90615354,-73.90258086
2953,40.77033151,40.77309271,-73.90258086,-73.89900818
2954,40.77033151,40.77309271,-73.89900818,-73.8954355
2955,40.77033151,40.77309271,-73.8954355,-73.89186282
2956,40.77033151,40.77309271,-73.89186282,-73.88829014
2957,40.77033151,40.77309271,-73.88829014,-73.88471746
2958,40.77033151,40.77309271,-73.88471746,-73.88114479
2959,40.77033151,40.77309271,-73.88114479,-73.87757211
2960,40.77033151,40.77309271,-73.87757211,-73.87399943
2961,40.77033151,40.77309271,-73.87399943,-73.87042675
2962,40.77033151,40.77309271,-73.87042675,-73.86685407
2963,40.77033151,40.77309271,-73.86685407,-73.86328139
2964,40.77033151,40.77309271,-73.86328139,-73.85970871
2965,40.77033151,40.77309271,-73.85970871,-73.85613604
2966,40.77033151,40.77309271,-73.85613604,-73.85256336
2967,40.77033151,40.77309271,-73.85256336,-73.84899068
2968,40.77033151,40.77309271,-73.84899068,-73.845418
2969,40.77309271,40.77585391,-74.045488,-74.04191532
2970,40.77309271,40.77585391,-74.04191532,-74.03834264
2971,40.77309271,40.77585391,-74.03834264,-74.03476996
2972,40.77309271,40.77585391,-74.03476996,-74.03119729
2973,40.77309271,40.77585391,-74.03119729,-74.02762461
2974,40.77309271,40.77585391,-74.02762461,-74.02405193
2975,40.77309271,40.77585391,-74.02405193,-74.02047925
2976,40.77309271,40.77585391,-74.02047925,-74.01690657
2977,40.77309271,40.77585391,-74.01690657,-74.01333389
2978,40.77309271,40.77585391,-74.01333389,-74.00976121
2979,40.77309271,40.77585391,-74.00976121,-74.00618854
2980,40.77309271,40.77585391,-74.00618854,-74.00261586
2981,40.77309271,40.77585391,-74.00261586,-73.99904318
2982,40.77309271,40.77585391,-73.99904318,-73.9954705
2983,40.77309271,40.77585391,-73.9954705,-73.99189782
2984,40.77309271,40.77585391,-73.99189782,-73.98832514
2985,40.77309271,40.77585391,-73.98832514,-73.98475246
2986,40.77309271,40.77585391,-73.98475246,-73.98117979
2987,40.77309271,40.77585391,-73.98117979,-73.97760711
2988,40.77309271,40.77585391,-73.97760711,-73.97403443
2989,40.77309271,40.77585391,-73.97403443,-73.97046175
2990,40.77309271,40.77585391,-73.97046175,-73.96688907
2991,40.77309271,40.77585391,-73.96688907,-73.96331639
2992,40.77309271,40.77585391,-73.96331639,-73.95974371
2993,40.77309271,40.77585391,-73.95974371,-73.95617104
2994,40.77309271,40.77585391,-73.95617104,-73.95259836
2995,40.77309271,40.77585391,-73.95259836,-73.94902568
2996,40.77309271,40.77585391,-73.94902568,-73.945453
2997,40.77309271,40.77585391,-73.945453,-73.94188032
2998,40.77309271,40.77585391,-73.94188032,-73.93830764
2999,40.77309271,40.77585391,-73.93830764,-73.93473496
3000,40.77309271,40.77585391,-73.93473496,-73.93116229
3001,40.77309271,40.77585391,-73.93116229,-73.92758961
3002,40.77309271,40.77585391,-73.92758961,-73.92401693
3003,40.77309271,40.77585391,-73.92401693,-73.92044425
3004,40.77309271,40.77585391,-73.92044425,-73.91687157
3005,40.77309271,40.77585391,-73.91687157,-73.91329889
3006,40.77309271,40.77585391,-73.91329889,-73.90972621
3007,40.77309271,40.77585391,-73.90972621,-73.90615354
3008,40.77309271,40.77585391,-73.90615354,-73.90258086
3009,40.77309271,40.77585391,-73.90258086,-73.89900818
3010,40.77309271,40.77585391,-73.89900818,-73.8954355
3011,40.77309271,40.77585391,-73.8954355,-73.89186282
3012,40.77309271,40.77585391,-73.89186282,-73.88829014
3013,40.77309271,40.77585391,-73.88829014,-73.88471746
3014,40.77309271,40.77585391,-73.88471746,-73.88114479
3015,40.77309271,40.77585391,-73.88114479,-73.87757211
3016,40.77309271,40.77585391,-73.87757211,-73.87399943
3017,40.77309271,40.77585391,-73.87399943,-73.87042675
3018,40.77309271,40.77585391,-73.87042675,-73.86685407
3019,40.77309271,40.77585391,-73.86685407,-73.86328139
3020,40.77309271,40.77585391,-73.86328139,-73.85970871
3021,40.77309271,40.77585391,-73.85970871,-73.85613604
3022,40.77309271,40.77585391,-73.85613604,-73.85256336
3023,40.77309271,40.77585391,-73.85256336,-73.84899068
3024,40.77309271,40.77585391,-73.84899068,-73.845418
3025,40.77585391,40.77861511,-74.045488,-74.04191532
3026,40.77585391,40.77861511,-74.04191532,-74.03834264
3027,40.77585391,40.77861511,-74.03834264,-74.03476996
3028,40.77585391,40.77861511,-74.03476996,-74.03119729
3029,40.77585391,40.77861511,-74.03119729,-74.02762461
3030,40.77585391,40.77861511,-74.02762461,-74.02405193
3031,40.77585391,40.77861511,-74.02405193,-74.02047925
3032,40.77585391,40.77861511,-74.02047925,-74.01690657
3033,40.77585391,40.77861511,-74.01690657,-74.01333389
3034,40.77585391,40.77861511,-74.01333389,-74.00976121
3035,40.77585391,40.77861511,-74.00976121,-74.00618854
3036,40.77585391,40.77861511,-74.00618854,-74.00261586
3037,40.77585391,40.77861511,-74.00261586,-73.99904318
3038,40.77585391,40.77861511,-73.99904318,-73.9954705
3039,40.77585391,40.77861511,-73.9954705,-73.99189782
3040,40.77585391,40.77861511,-73.99189782,-73.98832514
3041,40.77585391,40.77861511,-73.98832514,-73.98475246
3042,40.77585391,40.77861511,-73.98475246,-73.98117979
3043,40.77585391,40.77861511,-73.98117979,-73.97760711
3044,40.77585391,40.77861511,-73.97760711,-73.97403443
3045,40.77585391,40.77861511,-73.97403443,-73.97046175
3046,40.77585391,40.77861511,-73.97046175,-73.96688907
3047,40.77585391,40.77861511,-73.96688907,-73.96331639
3048,40.77585391,40.77861511,-73.96331639,-73.95974371
3049,40.77585391,40.77861511,-73.95974371,-73.95617104
3050,40.77585391,40.77861511,-73.95617104,-73.95259836
3051,40.77585391,40.77861511,-73.95259836,-73.94902568
3052,40.77585391,40.77861511,-73.94902568,-73.945453
3053,40.77585391,40.77861511,-73.945453,-73.94188032
3054,40.77585391,40.77861511,-73.94188032,-73.93830764
3055,40.77585391,40.77861511,-73.93830764,-73.93473496
3056,40.77585391,40.77861511,-73.93473496,-73.93116229
3057,40.77585391,40.77861511,-73.93116229,-73.92758961
3058,40.77585391,40.77861511,-73.92758961,-73.92401693
3059,40.77585391,40.77861511,-73.92401693,-73.92044425
3060,40.77585391,40.77861511,-73.92044425,-73.91687157
3061,40.77585391,40.77861511,-73.91687157,-73.91329889
3062,40.77585391,40.77861511,-73.91329889,-73.90972621
3063,40.77585391,40.77861511,-73.90972621,-73.90615354
3064,40.77585391,40.77861511,-73.90615354,-73.90258086
3065,40.77585391,40.77861511,-73.90258086,-73.89900818
3066,40.77585391,40.77861511,-73.89900818,-73.8954355
3067,40.77585391,40.77861511,-73.8954355,-73.89186282
3068,40.77585391,40.77861511,-73.89186282,-73.88829014
3069,40.77585391,40.77861511,-73.88829014,-73.88471746
3070,40.77585391,40.77861511,-73.88471746,-73.88114479
3071,40.77585391,40.77861511,-73.88114479,-73.87757211
3072,40.77585391,40.77861511,-73.87757211,-73.87399943
3073,40.77585391,40.77861511,-73.87399943,-73.87042675
3074,40.77585391,40.77861511,-73.87042675,-73.86685407
3075,40.77585391,40.77861511,-73.86685407,-73.86328139
3076,40.77585391,40.77861511,-73.86328139,-73.85970871
3077,40.77585391,40.77861511,-73.85970871,-73.85613604
3078,40.77585391,40.77861511,-73.85613604,-73.85256336
3079,40.77585391,40.77861511,-73.85256336,-73.84899068
3080,40.77585391,40.77861511,-73.84899068,-73.845418
3081,40.77861511,40.78137631,-74.045488,-74.04191532
3082,40.77861511,40.78137631,-74.04191532,-74.03834264
3083,40.77861511,40.78137631,-74.03834264,-74.03476996
3084,40.77861511,40.78137631,-74.03476996,-74.03119729
3085,40.77861511,40.78137631,-74.03119729,-74.02762461
3086,40.77861511,40.78137631,-74.02762461,-74.02405193
3087,40.77861511,40.78137631,-74.02405193,-74.02047925
3088,40.77861511,40.78137631,-74.02047925,-74.01690657
3089,40.77861511,40.78137631,-74.01690657,-74.01333389
3090,40.77861511,40.78137631,-74.01333389,-74.00976121
3091,40.77861511,40.78137631,-74.00976121,-74.00618854
3092,40.77861511,40.78137631,-74.00618854,-74.00261586
3093,40.77861511,40.78137631,-74.00261586,-73.99904318
3094,40.77861511,40.78137631,-73.99904318,-73.9954705
3095,40.77861511,40.78137631,-73.9954705,-73.99189782
3096,40.77861511,40.78137631,-73.99189782,-73.98832514
3097,40.77861511,40.78137631,-73.98832514,-73.98475246
3098,40.77861511,40.78137631,-73.98475246,-73.98117979
3099,40.77861511,40.78137631,-73.98117979,-73.97760711
3100,40.77861511,40.78137631,-73.97760711,-73.97403443
3101,40.77861511,40.78137631,-73.97403443,-73.97046175
3102,40.77861511,40.78137631,-73.97046175,-73.96688907
3103,40.77861511,40.78137631,-73.96688907,-73.96331639
3104,40.77861511,40.78137631,-73.96331639,-73.95974371
3105,40.77861511,40.78137631,-73.95974371,-73.95617104
3106,40.77861511,40.78137631,-73.95617104,-73.95259836
3107,40.77861511,40.78137631,-73.95259836,-73.94902568
3108,40.77861511,40.78137631,-73.94902568,-73.945453
3109,40.77861511,40.78137631,-73.945453,-73.94188032
3110,40.77861511,40.78137631,-73.94188032,-73.93830764
3111,40.77861511,40.78137631,-73.93830764,-73.93473496
3112,40.77861511,40.78137631,-73.93473496,-73.93116229
3113,40.77861511,40.78137631,-73.93116229,-73.92758961
3114,40.77861511,40.78137631,-73.92758961,-73.92401693
3115,40.77861511,40.78137631,-73.92401693,-73.92044425
3116,40.77861511,40.78137631,-73.92044425,-73.91687157
3117,40.77861511,40.78137631,-73.91687157,-73.91329889
3118,40.77861511,40.78137631,-73.91329889,-73.90972621
3119,40.77861511,40.78137631,-73.90972621,-73.90615354
3120,40.77861511,40.78137631,-73.90615354,-73.90258086
3121,40.77861511,40.78137631,-73.90258086,-73.89900818
3122,40.77861511,40.78137631,-73.89900818,-73.8954355
3123,40.77861511,40.78137631,-73.8954355,-73.89186282
3124,40.77861511,40.78137631,-73.89186282,-73.88829014
3125,40.77861511,40.78137631,-73.88829014,-73.88471746
3126,40.77861511,40.78137631,-73.88471746,-73.88114479
3127,40.77861511,40.78137631,-73.88114479,-73.87757211
3128,40.77861511,40.78137631,-73.87757211,-73.87399943
3129,40.77861511,40.78137631,-73.87399943,-73.87042675
3130,40.77861511,40.78137631,-73.87042675,-73.86685407
3131,40.77861511,40.78137631,-73.86685407,-73.86328139
3132,40.77861511,40.78137631,-73.86328139,-73.85970871
3133,40.77861511,40.78137631,-73.85970871,-73.85613604
3134,40.77861511,40.78137631,-73.85613604,-73.85256336
3135,40.77861511,40.78137631,-73.85256336,-73.84899068
3136,40.77861511,40.78137631,-73.84899068,-73.845418
3137,40.78137631,40.78413752,-74.045488,-74.04191532
3138,40.78137631,40.78413752,-74.04191532,-74.03834264
3139,40.78137631,40.78413752,-74.03834264,-74.03476996
3140,40.78137631,40.78413752,-74.03476996,-74.03119729
3141,40.78137631,40.78413752,-74.03119729,-74.02762461
3142,40.78137631,40.78413752,-74.02762461,-74.02405193
3143,40.78137631,40.78413752,-74.02405193,-74.02047925
3144,40.78137631,40.78413752,-74.02047925,-74.01690657
3145,40.78137631,40.78413752,-74.01690657,-74.01333389
3146,40.78137631,40.78413752,-74.01333389,-74.00976121
3147,40.78137631,40.78413752,-74.00976121,-74.00618854
3148,40.78137631,40.78413752,-74.00618854,-74.00261586
3149,40.78137631,40.78413752,-74.00261586,-73.99904318
3150,40.78137631,40.78413752,-73.99904318,-73.9954705
3151,40.78137631,40.78413752,-73.9954705,-73.99189782
3152,40.78137631,40.78413752,-73.99189782,-73.98832514
3153,40.78137631,40.78413752,-73.98832514,-73.98475246
3154,40.78137631,40.78413752,-73.98475246,-73.98117979
3155,40.78137631,40.78413752,-73.98117979,-73.97760711
3156,40.78137631,40.78413752,-73.97760711,-73.97403443
3157,40.78137631,40.78413752,-73.97403443,-73.97046175
3158,40.78137631,40.78413752,-73.97046175,-73.96688907
3159,40.78137631,40.78413752,-73.96688907,-73.96331639
3160,40.78137631,40.78413752,-73.96331639,-73.95974371
3161,40.78137631,40.78413752,-73.95974371,-73.95617104
3162,40.78137631,40.78413752,-73.95617104,-73.95259836
3163,40.78137631,40.78413752,-73.95259836,-73.94902568
3164,40.78137631,40.78413752,-73.94902568,-73.945453
3165,40.78137631,40.78413752,-73.945453,-73.94188032
3166,40.78137631,40.78413752,-73.94188032,-73.93830764
3167,40.78137631,40.78413752,-73.93830764,-73.93473496
3168,40.78137631,40.78413752,-73.93473496,-73.93116229
3169,40.78137631,40.78413752,-73.93116229,-73.92758961
3170,40.78137631,40.78413752,-73.92758961,-73.92401693
3171,40.78137631,40.78413752,-73.92401693,-73.92044425
3172,40.78137631,40.78413752,-73.92044425,-73.91687157
3173,40.78137631,40.78413752,-73.91687157,-73.91329889
3174,40.78137631,40.78413752,-73.91329889,-73.90972621
3175,40.78137631,40.78413752,-73.90972621,-73.90615354
3176,40.78137631,40.78413752,-73.90615354,-73.90258086
3177,40.78137631,40.78413752,-73.90258086,-73.89900818
3178,40.78137631,40.78413752,-73.89900818,-73.8954355
3179,40.78137631,40.78413752,-73.8954355,-73.89186282
3180,40.78137631,40.78413752,-73.89186282,-73.88829014
3181,40.78137631,40.78413752,-73.88829014,-73.88471746
3182,40.78137631,40.78413752,-73.88471746,-73.88114479
3183,40.78137631,40.78413752,-73.88114479,-73.87757211
3184,40.78137631,40.78413752,-73.87757211,-73.87399943
3185,40.78137631,40.78413752,-73.87399943,-73.87042675
3186,40.78137631,40.78413752,-73.87042675,-73.86685407
3187,40.78137631,40.78413752,-73.86685407,-73.86328139
3188,40.78137631,40.78413752,-73.86328139,-73.85970871
3189,40.78137631,40.78413752,-73.85970871,-73.85613604
3190,40.78137631,40.78413752,-73.85613604,-73.85256336
3191,40.78137631,40.78413752,-73.85256336,-73.84899068
3192,40.78137631,40.78413752,-73.84899068,-73.845418
3193,40.78413752,40.78689872,-74.045488,-74.04191532
3194,40.78413752,40.78689872,-74.04191532,-74.03834264
3195,40.78413752,40.78689872,-74.03834264,-74.03476996
3196,40.78413752,40.78689872,-74.03476996,-74.03119729
3197,40.78413752,40.78689872,-74.03119729,-74.02762461
3198,40.78413752,40.78689872,-74.02762461,-74.02405193
3199,40.78413752,40.78689872,-74.02405193,-74.02047925
3200,40.78413752,40.78689872,-74.02047925,-74.01690657
3201,40.78413752,40.78689872,-74.01690657,-74.01333389
3202,40.78413752,40.78689872,-74.01333389,-74.00976121
3203,40.78413752,40.78689872,-74.00976121,-74.00618854
3204,40.78413752,40.78689872,-74.00618854,-74.00261586
3205,40.78413752,40.78689872,-74.00261586,-73.99904318
3206,40.78413752,40.78689872,-73.99904318,-73.9954705
3207,40.78413752,40.78689872,-73.9954705,-73.99189782
3208,40.78413752,40.78689872,-73.99189782,-73.98832514
3209,40.78413752,40.78689872,-73.98832514,-73.98475246
3210,40.78413752,40.78689872,-73.98475246,-73.98117979
3211,40.78413752,40.78689872,-73.98117979,-73.97760711
3212,40.78413752,40.78689872,-73.97760711,-73.97403443
3213,40.78413752,40.78689872,-73.97403443,-73.97046175
3214,40.78413752,40.78689872,-73.97046175,-73.96688907
3215,40.78413752,40.78689872,-73.96688907,-73.96331639
3216,40.78413752,40.78689872,-73.96331639,-73.95974371
3217,40.78413752,40.78689872,-73.95974371,-73.95617104
3218,40.78413752,40.78689872,-73.95617104,-73.95259836
3219,40.78413752,40.78689872,-73.95259836,-73.94902568
3220,40.78413752,40.78689872,-73.94902568,-73.945453
3221,40.78413752,40.78689872,-73.945453,-73.94188032
3222,40.78413752,40.78689872,-73.94188032,-73.93830764
3223,40.78413752,40.78689872,-73.93830764,-73.93473496
3224,40.78413752,40.78689872,-73.93473496,-73.93116229
3225,40.78413752,40.78689872,-73.93116229,-73.92758961
3226,40.78413752,40.78689872,-73.92758961,-73.92401693
3227,40.78413752,40.78689872,-73.92401693,-73.92044425
3228,40.78413752,40.78689872,-73.92044425,-73.91687157
3229,40.78413752,40.78689872,-73.91687157,-73.91329889
3230,40.78413752,40.78689872,-73.91329889,-73.90972621
3231,40.78413752,40.78689872,-73.90972621,-73.90615354
3232,40.78413752,40.78689872,-73.90615354,-73.90258086
3233,40.78413752,40.78689872,-73.90258086,-73.89900818
3234,40.78413752,40.78689872,-73.89900818,-73.8954355
3235,40.78413752,40.78689872,-73.8954355,-73.89186282
3236,40.78413752,40.78689872,-73.89186282,-73.88829014
3237,40.78413752,40.78689872,-73.88829014,-73.88471746
3238,40.78413752,40.78689872,-73.88471746,-73.88114479
3239,40.78413752,40.78689872,-73.88114479,-73.87757211
3240,40.78413752,40.78689872,-73.87757211,-73.87399943
3241,40.78413752,40.78689872,-73.87399943,-73.87042675
3242,40.78413752,40.78689872,-73.87042675,-73.86685407
3243,40.78413752,40.78689872,-73.86685407,-73.86328139
3244,40.78413752,40.78689872,-73.86328139,-73.85970871
3245,40.78413752,40.78689872,-73.85970871,-73.85613604
3246,40.78413752,40.78689872,-73.85613604,-73.85256336
3247,40.78413752,40.78689872,-73.85256336,-73.84899068
3248,40.78413752,40.78689872,-73.84899068,-73.845418
3249,40.78689872,40.78965992,-74.045488,-74.04191532
3250,40.78689872,40.78965992,-74.04191532,-74.03834264
3251,40.78689872,40.78965992,-74.03834264,-74.03476996
3252,40.78689872,40.78965992,-74.03476996,-74.03119729
3253,40.78689872,40.78965992,-74.03119729,-74.02762461
