date,station,lon,lat,tmpf,relh,sped,vsby
2019-08-13,jrb,-74.009,40.7012,68.94222222222223,72.36111111111111,6.261111111111111,9.6
2019-08-13,nyc,-73.9693,40.779,74.44444444444444,75.09296296296296,3.8333333333333335,9.166666666666666
2019-08-14,jrb,-74.009,40.7012,64.10588235294118,76.03458823529411,5.709411764705883,6.688235294117647
2019-08-14,nyc,-73.9693,40.779,76.4148148148148,77.90703703703703,3.7481481481481485,7.888888888888889
2019-08-15,jrb,-74.009,40.7012,66.58245614035087,73.37684210526315,6.617543859649123,9.456140350877194
2019-08-15,nyc,-73.9693,40.779,75.22758620689655,74.62758620689655,3.6086206896551722,9.10344827586207
2019-08-16,jrb,-74.009,40.7012,68.11764705882354,73.24764705882353,6.651960784313726,9.705882352941176
2019-08-16,nyc,-73.9693,40.779,73.09032258064516,77.2358064516129,3.079032258064516,10.0
2019-08-17,jrb,-74.009,40.7012,72.97674418604652,77.97767441860465,5.91046511627907,9.767441860465116
2019-08-17,nyc,-73.9693,40.779,76.47777777777777,80.98083333333334,3.1305555555555555,9.555555555555555
2019-08-18,jrb,-74.009,40.70120000000001,70.68928571428572,76.07303571428572,4.702678571428572,8.803571428571429
2019-08-18,nyc,-73.9693,40.779,76.62325581395349,84.51046511627906,2.3000000000000003,6.97093023255814
2019-08-19,jrb,-74.009,40.7012,70.56444444444445,72.06288888888889,5.877777777777778,9.4
2019-08-19,nyc,-73.9693,40.779,77.42307692307692,74.35346153846154,2.2115384615384617,10.0
2019-08-20,jrb,-74.009,40.7012,70.28947368421052,66.65947368421052,7.293421052631579,9.605263157894736
2019-08-20,nyc,-73.9693,40.779,80.40833333333333,62.60666666666666,3.0666666666666664,10.0
2019-08-21,jrb,-74.009,40.7012,72.42264150943396,75.06716981132075,5.2075471698113205,8.962264150943396
2019-08-21,nyc,-73.9693,40.779,79.13793103448276,77.78241379310344,2.3000000000000003,7.948275862068965
2019-08-22,jrb,-74.009,40.7012,79.37037037037037,71.58481481481482,6.72962962962963,9.962962962962964
2019-08-22,nyc,-73.9693,40.779,80.5,70.3,4.286363636363636,10.0
2019-08-23,jrb,-74.009,40.7012,66.01,75.23616666666666,4.944999999999999,7.983333333333333
2019-08-23,nyc,-73.9693,40.779,70.22439024390243,86.51146341463415,3.674390243902439,6.0426829268292686
2019-08-24,jrb,-74.009,40.7012,67.56756756756756,60.51378378378378,6.837837837837838,9.945945945945946
2019-08-24,nyc,-73.9693,40.779,69.95652173913044,54.68782608695652,5.45,10.0
2019-08-25,jrb,-74.009,40.7012,66.86341463414634,65.8609756097561,12.481707317073171,10.0
2019-08-25,nyc,-73.9693,40.779,68.8,62.8084,7.636,10.0
2019-08-26,jrb,-74.009,40.7012,63.0,68.24962264150943,10.154716981132076,9.528301886792454
2019-08-26,nyc,-73.9693,40.779,66.42307692307692,64.2473076923077,8.09423076923077,10.0
2019-08-27,jrb,-74.009,40.7012,65.7741935483871,68.42870967741935,6.120967741935484,9.64516129032258
2019-08-27,nyc,-73.9693,40.779,67.81818181818181,68.35363636363637,3.084090909090909,10.0
2019-08-28,jrb,-74.009,40.7012,64.96000000000001,77.0715,7.029375,8.05
2019-08-28,nyc,-73.9693,40.779,70.3170731707317,85.27341463414635,4.123170731707317,8.71951219512195
2019-08-29,jrb,-74.009,40.7012,68.2695652173913,67.54847826086957,4.675,9.891304347826088
2019-08-29,nyc,-73.9693,40.779,72.29285714285714,70.52535714285715,3.778571428571429,10.0
2019-08-30,jrb,-74.009,40.7012,68.25581395348837,62.7460465116279,7.595348837209303,9.930232558139535
2019-08-30,nyc,-73.9693,40.779,75.77391304347826,51.95739130434782,4.05,10.0
2019-08-31,jrb,-74.009,40.7012,72.0909090909091,57.39939393939393,5.262121212121213,9.969696969696969
2019-08-31,nyc,-73.9693,40.779,75.6086956521739,50.7804347826087,4.45,10.0
2019-09-01,jrb,-74.009,40.7012,69.65714285714286,61.10257142857143,8.937142857142858,10.0
2019-09-01,nyc,-73.9693,40.779,71.0,55.93625,5.175,10.0
2019-09-02,jrb,-74.009,40.7012,63.75903614457831,76.07204819277108,5.195783132530121,6.846385542168675
2019-09-02,nyc,-73.9693,40.779,70.97222222222223,87.80972222222222,2.7152777777777777,6.256944444444445
2019-09-03,jrb,-74.009,40.7012,68.14666666666666,71.50822222222222,5.801111111111111,9.777777777777779
2019-09-03,nyc,-73.9693,40.779,73.39285714285714,72.7325,3.039285714285714,9.857142857142858
