station,date,lon,lat,tmpf,relh,sped,p01i,vsby,weather_class
jrb,2019-01-01,-74.009,40.7012,49.0,54.24,5.75,0.0,10.0,bad
jrb,2019-01-01,-74.009,40.7012,57.0,69.52,13.8,0.01,10.0,good
jrb,2019-01-01,-74.009,40.7012,57.0,69.52,3.45,0.01,10.0,good
jrb,2019-01-01,-74.009,40.7012,57.0,69.52,6.9,0.01,10.0,good
nyc,2019-01-01,-73.9693,40.779,45.0,53.0,0.0,0.0,10.0,bad
jrb,2019-01-01,-74.009,40.7012,47.0,55.94,4.6,0.01,10.0,bad
jrb,2019-01-01,-74.009,40.7012,57.0,69.52,0.0,0.0,10.0,good
nyc,2019-01-01,-73.9693,40.779,44.0,57.37,0.0,0.0,10.0,bad
jrb,2019-01-01,-74.009,40.7012,46.0,57.87,4.6,0.0,10.0,bad
jrb,2019-01-01,-74.009,40.7012,45.0,60.11,3.45,0.0,10.0,bad
jrb,2019-01-02,-74.009,40.7012,57.0,69.52,4.6,0.0,10.0,good
jrb,2019-01-02,-74.009,40.7012,57.0,69.52,3.45,0.0,10.0,good
jrb,2019-01-02,-74.009,40.7012,57.0,69.52,0.0,0.0,10.0,good
jrb,2019-01-02,-74.009,40.7012,57.0,69.52,5.75,0.0,10.0,good
nyc,2019-01-02,-73.9693,40.779,43.0,59.83,0.0,0.0,10.0,bad
jrb,2019-01-02,-74.009,40.7012,45.0,60.11,0.0,0.0,10.0,bad
nyc,2019-01-02,-73.9693,40.779,43.0,52.91,0.0,0.0,10.0,bad
jrb,2019-01-02,-74.009,40.7012,44.0,57.37,3.45,0.0,10.0,bad
nyc,2019-01-02,-73.9693,40.779,42.0,52.78,0.0,0.0,10.0,bad
jrb,2019-01-02,-74.009,40.7012,44.0,54.85,0.0,0.0,10.0,bad
nyc,2019-01-02,-73.9693,40.779,41.0,52.61,0.0,0.0,10.0,bad
jrb,2019-01-02,-74.009,40.7012,43.0,50.98,3.45,0.0,10.0,bad
nyc,2019-01-02,-73.9693,40.779,40.0,57.47,0.0,0.0,10.0,bad
jrb,2019-01-02,-74.009,40.7012,41.0,52.61,3.45,0.0,10.0,bad
jrb,2019-01-02,-74.009,40.7012,57.0,69.52,6.9,0.0,10.0,good
nyc,2019-01-02,-73.9693,40.779,38.0,59.36,0.0,0.0,10.0,bad
jrb,2019-01-02,-74.009,40.7012,40.0,54.9,4.6,0.0,10.0,bad
jrb,2019-01-02,-74.009,40.7012,40.0,54.9,5.75,0.0,10.0,bad
nyc,2019-01-02,-73.9693,40.779,37.0,56.57,0.0,0.0,10.0,bad
jrb,2019-01-02,-74.009,40.7012,39.0,59.52,3.45,0.0,10.0,bad
nyc,2019-01-02,-73.9693,40.779,37.0,54.01,0.0,0.0,10.0,bad
jrb,2019-01-02,-74.009,40.7012,38.0,59.36,0.0,0.0,10.0,bad
jrb,2019-01-02,-74.009,40.7012,57.0,69.52,8.05,0.0,10.0,good
nyc,2019-01-02,-73.9693,40.779,36.0,56.18,0.0,0.0,10.0,bad
nyc,2019-01-02,-73.9693,40.779,35.0,56.05,0.0,0.0,10.0,bad
jrb,2019-01-02,-74.009,40.7012,37.0,61.5,4.6,0.0,10.0,bad
jrb,2019-01-02,-74.009,40.7012,57.0,69.52,10.35,0.0,10.0,good
jrb,2019-01-02,-74.009,40.7012,37.0,61.5,6.9,0.0,10.0,bad
nyc,2019-01-02,-73.9693,40.779,36.0,58.85,0.0,0.0,10.0,bad
jrb,2019-01-02,-74.009,40.7012,39.0,64.37,8.05,0.0,10.0,bad
jrb,2019-01-02,-74.009,40.7012,57.0,69.52,9.2,0.0,10.0,good
nyc,2019-01-02,-73.9693,40.779,36.0,54.08,0.0,0.0,10.0,bad
jrb,2019-01-02,-74.009,40.7012,39.0,61.78,6.9,0.0,10.0,bad
nyc,2019-01-02,-73.9693,40.779,37.0,51.99,0.0,0.0,9.0,bad
jrb,2019-01-02,-74.009,40.7012,39.0,59.52,8.05,0.0,10.0,bad
nyc,2019-01-02,-73.9693,40.779,38.0,50.18,0.0,0.0,10.0,bad
jrb,2019-01-02,-74.009,40.7012,42.0,50.42,6.9,0.0,10.0,bad
nyc,2019-01-02,-73.9693,40.779,38.0,47.89,0.0,0.0,10.0,bad
jrb,2019-01-02,-74.009,40.7012,42.0,48.56,3.45,0.0,10.0,bad
jrb,2019-01-02,-74.009,40.7012,57.0,69.52,0.0,0.0,9.0,good
nyc,2019-01-02,-73.9693,40.779,39.0,49.93,0.0,0.0,10.0,bad
jrb,2019-01-02,-74.009,40.7012,41.0,50.67,5.75,0.0,10.0,bad
jrb,2019-01-02,-74.009,40.7012,40.0,59.65,6.9,0.0,10.0,bad
jrb,2019-01-02,-74.009,40.7012,57.0,69.52,6.9,0.0,9.0,good
nyc,2019-01-02,-73.9693,40.779,38.0,54.6,0.0,0.0,10.0,bad
jrb,2019-01-02,-74.009,40.7012,38.0,64.49,5.75,0.0,9.0,bad
