station,date,lon,lat,tmpf,relh,sped,p01i,vsby
nyc,1/3/2019,-73.9693,40.779,43,64.88,0,0,10
nyc,1/3/2019,-73.9693,40.779,44,57.37,0,0,10
nyc,1/3/2019,-73.9693,40.779,42,54.78,0,0,10
jrb,1/3/2019,-74.009,40.7012,44,62.21,8.05,0,10
nyc,1/3/2019,-73.9693,40.779,43,46.91,0,0,10
jrb,1/3/2019,-74.009,40.7012,45,53,3.45,0,10
nyc,1/3/2019,-73.9693,40.779,43,42.77,0,0,8
jrb,1/3/2019,-74.009,40.7012,46,45.47,3.45,0,10
nyc,1/3/2019,-73.9693,40.779,42,46.37,0,0,10
jrb,1/3/2019,-74.009,40.7012,45,49.02,8.05,0,10
nyc,1/3/2019,-73.9693,40.779,41,50.67,0,0,10
jrb,1/3/2019,-74.009,40.7012,43,52.91,3.45,0,10
nyc,1/3/2019,-73.9693,40.779,39,49.93,0,0,10
jrb,1/3/2019,-74.009,40.7012,42,54.78,5.75,0,10
jrb,1/3/2019,-74.009,40.7012,41,57.15,4.6,0,10
jrb,1/3/2019,-74.009,40.7012,40,57.47,5.75,0,10
jrb,1/4/2019,-74.009,40.7012,57,69.52,8.05,0,10
jrb,1/4/2019,-74.009,40.7012,57,69.52,6.9,0,10
jrb,1/4/2019,-74.009,40.7012,57,69.52,4.6,0,10
jrb,1/4/2019,-74.009,40.7012,57,69.52,3.45,0,10
jrb,1/4/2019,-74.009,40.7012,57,69.52,0,0,10
nyc,1/4/2019,-73.9693,40.779,39,52.3,0,0,10
jrb,1/4/2019,-74.009,40.7012,40,57.47,3.45,0,10
jrb,1/4/2019,-74.009,40.7012,40,57.47,4.6,0,10
jrb,1/4/2019,-74.009,40.7012,57,69.52,5.75,0,10
nyc,1/4/2019,-73.9693,40.779,38,54.6,0,0,10
jrb,1/4/2019,-74.009,40.7012,39,61.78,4.6,0,10
nyc,1/4/2019,-73.9693,40.779,38,57.18,0,0,10
jrb,1/4/2019,-74.009,40.7012,39,64.37,8.05,0,10
jrb,1/4/2019,-74.009,40.7012,38,67.2,5.75,0,10
jrb,1/4/2019,-74.009,40.7012,57,69.52,9.2,0,10
nyc,1/4/2019,-73.9693,40.779,37,61.5,0,0,10
jrb,1/4/2019,-74.009,40.7012,37,69.63,8.05,0,10
jrb,1/4/2019,-74.009,40.7012,57,69.52,14.95,0.01,10
jrb,1/4/2019,-74.009,40.7012,57,69.52,18.4,0.01,10
jrb,1/4/2019,-74.009,40.7012,57,69.52,5.75,0.01,10
jrb,1/4/2019,-74.009,40.7012,57,69.52,4.6,0.01,10
jrb,1/4/2019,-74.009,40.7012,57,69.52,8.05,0.01,10
jrb,1/4/2019,-74.009,40.7012,57,69.52,6.9,0.01,10
jrb,1/4/2019,-74.009,40.7012,36,72.43,6.9,0.01,10
nyc,1/4/2019,-73.9693,40.779,36,61.62,0,0,10
jrb,1/4/2019,-74.009,40.7012,36,69.51,6.9,0,10
jrb,1/4/2019,-74.009,40.7012,36,75.15,6.9,0,10
jrb,1/4/2019,-74.009,40.7012,36,75.15,8.05,0,10
nyc,1/4/2019,-73.9693,40.779,36,63.98,0,0,10
jrb,1/4/2019,-74.009,40.7012,57,69.52,11.5,0,10
jrb,1/4/2019,-74.009,40.7012,57,69.52,10.35,0,10
nyc,1/4/2019,-73.9693,40.779,36,66.97,0,0,10
jrb,1/4/2019,-74.009,40.7012,37,72.24,8.05,0,10
nyc,1/4/2019,-73.9693,40.779,38,62.14,0,0,9
jrb,1/4/2019,-74.009,40.7012,38,72.93,10.35,0,10
nyc,1/4/2019,-73.9693,40.779,40,59.65,0,0,9
jrb,1/4/2019,-74.009,40.7012,41,67.03,10.35,0,10
jrb,1/4/2019,-74.009,40.7012,57,69.52,12.65,0,10
jrb,1/4/2019,-74.009,40.7012,57,69.52,14.95,0,10
jrb,1/4/2019,-74.009,40.7012,57,69.52,13.8,0,10
nyc,1/4/2019,-73.9693,40.779,42,54.78,0,0,10
jrb,1/4/2019,-74.009,40.7012,43,62.06,11.5,0,10
nyc,1/4/2019,-73.9693,40.779,44,52.86,0,0,10
jrb,1/4/2019,-74.009,40.7012,45,57.5,16.1,0,10
jrb,1/4/2019,-74.009,40.7012,57,69.52,16.1,0,10
nyc,1/4/2019,-73.9693,40.779,45,53,0,0,10
jrb,1/4/2019,-74.009,40.7012,45,60.11,13.8,0,10
nyc,1/4/2019,-73.9693,40.779,46,51.03,0,0,10
jrb,1/4/2019,-74.009,40.7012,45,62.83,10.35,0,10
jrb,1/4/2019,-74.009,40.7012,45,65.13,9.2,0,10
nyc,1/4/2019,-73.9693,40.779,45,60.11,0,0,10
nyc,1/4/2019,-73.9693,40.779,45,62.83,0,0,10
jrb,1/4/2019,-74.009,40.7012,44,72.99,8.05,0,10
nyc,1/4/2019,-73.9693,40.779,45,68.05,0,0,10
jrb,1/4/2019,-74.009,40.7012,44,75.93,6.9,0,10
jrb,1/5/2019,-74.009,40.7012,57,69.52,5.75,0,10
jrb,1/5/2019,-74.009,40.7012,57,69.52,6.9,0,10
jrb,1/5/2019,-74.009,40.7012,57,69.52,8.05,0,10
nyc,1/5/2019,-73.9693,40.779,45,70.53,0,0,10
jrb,1/5/2019,-74.009,40.7012,44,78.66,5.75,0,10
jrb,1/5/2019,-74.009,40.7012,57,69.52,4.6,0,10
nyc,1/5/2019,-73.9693,40.779,45,73.37,0,0,10
jrb,1/5/2019,-74.009,40.7012,44,78.66,4.6,0,10
jrb,1/5/2019,-74.009,40.7012,44.6,75.68,4.6,0,10
jrb,1/5/2019,-74.009,40.7012,57,69.52,3.45,0,10
jrb,1/5/2019,-74.009,40.7012,44.6,75.68,3.45,0,10
jrb,1/5/2019,-74.009,40.7012,57,69.52,0,0,10
nyc,1/5/2019,-73.9693,40.779,46,70.64,0,0,10
jrb,1/5/2019,-74.009,40.7012,45,76.01,0,0,10
nyc,1/5/2019,-73.9693,40.779,46,73.18,0,0,10
nyc,1/5/2019,-73.9693,40.779,47,68.27,0,0,10
jrb,1/5/2019,-74.009,40.7012,46,73.18,0,0,10
jrb,1/5/2019,-74.009,40.7012,57,69.52,0,0,9
jrb,1/5/2019,-74.009,40.7012,57,69.52,4.6,0,9
jrb,1/5/2019,-74.009,40.7012,57,69.52,3.45,0,9
nyc,1/5/2019,-73.9693,40.779,44,85.06,0,0.01,6
jrb,1/5/2019,-74.009,40.7012,57,69.52,5.75,0,7
jrb,1/5/2019,-74.009,40.7012,45,85.77,4.6,t,7
jrb,1/5/2019,-74.009,40.7012,57,69.52,3.45,0,6
jrb,1/5/2019,-74.009,40.7012,57,69.52,4.6,0,6
jrb,1/5/2019,-74.009,40.7012,57,69.52,4.6,0,7
