Feature,Component_1,Component_2,Component_3,Component_4,Component_5,Component_6,Component_7,Component_8,Component_9,Component_10,Component_11,Component_12,Component_13,Component_14,Component_15,Component_16,Component_17,Component_18,Component_19,Component_20,Component_21,Component_22,Component_23,Component_24,Component_25,Component_26,Component_27,Component_28,Component_29
percent_renteroccupied,-0.08488994521887737,0.1424557970355141,-0.048759852269419694,-0.18590043737021913,-0.06192276584256728,0.03802305739583095,0.0772903960627021,-0.0934783358114909,-0.06597616017064568,0.2444263510623928,0.02454448010473485,-0.008232663952553981,-0.12123545314163123,-0.04096870187133245,0.02415905532982994,-0.013163146283703187,-0.0005180890882092726,-0.060670802404846784,-0.06622142773896522,-0.046707527444822164,-0.016695369007833333,0.024190369358693724,0.061243312746165825,-0.20116831364917478,0.11769686136987026,-0.1607570811291585,-0.20471544680815174,-0.2771149522454214,-0.07731343999873352
median_age,0.1681949766571838,-0.07486970977736337,0.08872345878141312,-0.036852690415601,-0.009661238281544783,-0.08990515665528931,0.03412447062823665,-0.060405658124173645,-0.05420309707187701,0.03564697477071338,0.004622993706383757,0.003304039833389255,-0.0064508642601535104,0.0004555648548128441,-0.0005154745805134031,-0.008375573946544382,0.016929857226310987,-0.018972563641010323,-0.09401986118503125,0.14554869643594945,0.0011309961474720853,-0.03243600886282394,0.012804600334132304,0.012579334945215875,0.02116764749449941,0.04150805304180047,-0.0666772864213278,0.048753962314415394,-0.026458669096327693
percent_under5,-0.029850887773826766,0.0986924141400488,0.17877075428524453,0.14200833052869016,-0.17658140246436954,0.10198724724481054,-0.03532610885559029,-0.10337730102786802,0.06729521054908963,-0.04009392533631556,-0.12086972850338884,-0.17880020672955646,-0.08378505159704203,0.06334836756060144,0.02771631419555025,0.13018786946807387,0.013680367169194685,-0.07294905035098304,0.0869254402895045,-0.06263882827747096,-0.0571912108785215,0.0841503280930876,-0.10326158235631597,0.07430067953403982,0.17747932342603784,-0.020584204872930056,0.06723123401222295,-0.021414013144657067,-0.090202615845834
percent_5to9,0.025625740843983703,0.1696877915640382,0.14789305504016115,0.09871776370301465,-0.09119265143114857,0.08391270646194299,-0.1089044322442955,-0.013045784935776739,-0.009600278689039815,-0.008422402485187608,-0.03976767740207159,-0.010524676448556952,0.05443996681636082,0.03402298108737596,-0.03784233340573301,-0.0023154419211235903,-0.03409322672166881,0.05046558997850095,-0.06420464759670652,-0.05836063701207642,-0.03368191051391284,-0.09065968335495914,0.10742612425520998,-0.10901340672437271,0.011396972308397159,0.02071727994612313,0.04663234292719817,0.03468833552522743,0.09731322504519642
percent_10to14,0.05063641742619294,0.19442171388912308,0.09535273422119082,0.037337804709470894,-0.0669137757732253,0.06552270134575731,-0.09223884275442684,0.024843316566435944,0.0191013379739311,-0.042618011295243896,0.048081755147210435,0.005647582436687948,0.13265702579263725,-0.02942190175189552,-0.1025908260663778,-0.07977611351416716,-0.06599090356109955,0.04814572686554962,-0.06615649698819168,0.02334611957881238,0.0016613128736668314,-0.022741431228912673,0.10807427488743518,-0.08975525011038638,-0.06536148106113916,0.07382400735505285,-0.1178137622482171,-0.016364087563764992,0.018706261406458497
percent_15to19,0.009127132733493538,0.10716179947781806,-0.1374252943469329,0.21793408841003387,0.09282330190285483,-0.017482527040399456,0.22910618983336722,0.15675712719771584,-0.21133740437227255,-0.05072803869413911,-0.1975637085083211,0.08434911547574003,-0.01534613922510572,-0.05144883599164182,-0.02096348335452558,-0.002323970688769994,-0.006449496012647146,-0.03381608360653975,0.04287961611410085,-0.01919147328655663,0.0643250927379353,-0.032315192859449185,0.004931545314030002,-0.03155231611383352,0.04109986782775742,-0.01818946743180172,-0.03398429504296166,-0.02914845512794484,0.01295919611530073
percent_20to24,-0.05258607090387257,0.03383281416062826,-0.22792347069476832,0.10136345587946886,0.09007014052635871,0.01831655948603108,-0.12656994774691277,-0.06866929777082822,0.19848842112515908,0.07323500065148614,0.1925386203062713,0.05574505808502299,-0.032597945930063876,0.05267212433736671,0.15661973187143155,0.050807809250988906,-0.007052490068907763,0.07342302069188279,0.0031277350558969186,0.03871442111503745,-0.07423815147119983,0.02830424328792605,0.035631408773661166,0.0012370147796656739,-0.038872159471613064,0.057518826247110647,-0.024479373516637537,0.004971037823992178,0.0009162001254709807
percent_25to29,-0.13281801020057613,-0.08392463631879009,-0.10190205153669646,-0.17956512058978866,-0.06319239826361923,0.017734266407417324,-0.1395651485263238,0.0332791745504022,-0.05987244967664606,-0.06811634939942601,-0.010837757258509155,-0.04601154448921863,0.14163144621668117,-0.029235294389258842,-0.11650578457633251,-0.04492762149068429,0.0022112457498022556,-0.0340997335450443,-0.028485583078841407,0.010549123617275155,0.0354765056487518,-0.05101446050670676,-0.04519953333629469,0.05066070803242005,0.05190940778966017,-0.09312072268895116,0.11083100662528769,-0.012908436491130187,-0.05111241060898692
percent_30to34,-0.15064090726826213,-0.11546917987851758,0.05616531498865525,-0.11301893860533575,-0.07332242203592758,-0.037425483108581736,0.08001484323062803,-0.012819474157936698,-0.013559992218885571,-0.012138956253777831,-0.0479535832690541,-0.06164786696293917,-0.0485904843669403,0.014956073745951336,-0.07826669256354411,-0.05493094136757581,0.02752517764638432,-0.056657949395681785,-0.028064389013252058,-0.011249580263857323,0.004632056976657223,0.038016836737125706,-0.02578572904965694,0.03914439291998623,-0.07932751034455222,-0.007591321854897068,-0.10367490505165892,0.02822898315618541,0.017915260912107114
percent_35to39,-0.12714792786845688,-0.09111643963423237,0.16541347205878848,-0.028774638001965988,-0.03727152169440116,-0.05467231243145993,0.1357869836342476,-0.033447447957815575,-0.0002628166496265547,0.04692160658235766,-0.0057758810082322865,0.0035312309931802566,-0.10576177505731518,0.0029904496769546755,0.08245718247518838,0.004499327982260486,0.04676122817159964,0.03473040369838636,-0.015283870546778634,0.03892190563112617,-0.005437322306898565,0.0148844451197893,-0.0378239507898539,0.011856781196299631,-0.07963317980219353,0.08106971791382676,0.0018090726216069691,0.06332736634850242,-0.007845030649114288
percent_40to44,-0.07178577909309827,-0.033286061282282814,0.23899352509843885,0.01068926866075497,0.05132667875460736,-0.0311172848181137,0.13585254534146496,-0.001002453882549611,0.040801767329272695,0.026033288503028676,0.0458416710576133,0.08185599870586101,-0.012065932035005403,-0.07965135183334558,0.14149315668733597,0.0763957430636507,-0.00668026109864122,0.04541903156996896,0.01520409995519148,0.0990432596592378,-0.027434925250675337,0.006349538798197399,0.03324419867578191,-0.14783043427809003,-0.02994171381645666,0.07091000141589301,0.03795077638603511,-0.007305791415882767,0.08169183191120558
percent_45to49,0.0175313670639077,0.007964159087743486,0.2334193530517108,0.004980040855891521,0.19441586436600392,0.028058158019276705,-0.008580447641652694,0.03603519451767996,-0.04087869150792492,0.12660999833184577,0.15209806467603834,0.12716503303224833,0.12553386714125037,-0.08122049875066703,0.03584699474081797,-0.0113251951638692,-0.04521601263610628,-0.06680372554100629,0.038574680233655026,-0.14188234985118706,0.06546078662699069,0.011542874888114972,0.09029937392383332,0.313017780222521,0.09713635777307894,-0.11273756943110935,-0.008265207250791579,-0.05852416757673591,0.005561278398361665
percent_50to54,0.10313867971148195,0.04654901972798657,0.14016900055452086,-0.08295117491796147,0.27252628444704713,0.06805964138498495,-0.058619324152751826,-0.006725127087597917,-0.017705942891589978,0.07503810937191488,-0.028927512886342144,0.01783428309249744,0.05333032077009274,-0.09677521450500402,-0.1455902896312429,0.023350069236397573,-0.011285063785693744,0.06826517075432292,0.11272298593852813,0.024819893219130487,-0.024154508676699746,0.030122441536613673,-0.221137107062265,-0.1746411479537373,-0.10848922591250493,-0.014874636806067154,0.014635755119265986,0.0774288336168342,-0.20759306975645203
