"GEO_ID","NAME","B08201_001E","B08201_001M","B08201_002E","B08201_002M","B08201_003E","B08201_003M","B08201_004E","B08201_004M","B08201_005E","B08201_005M","B08201_006E","B08201_006M","B08201_007E","B08201_007M","B08201_008E","B08201_008M","B08201_009E","B08201_009M","B08201_010E","B08201_010M","B08201_011E","B08201_011M","B08201_012E","B08201_012M","B08201_013E","B08201_013M","B08201_014E","B08201_014M","B08201_015E","B08201_015M","B08201_016E","B08201_016M","B08201_017E","B08201_017M","B08201_018E","B08201_018M","B08201_019E","B08201_019M","B08201_020E","B08201_020M","B08201_021E","B08201_021M","B08201_022E","B08201_022M","B08201_023E","B08201_023M","B08201_024E","B08201_024M","B08201_025E","B08201_025M","B08201_026E","B08201_026M","B08201_027E","B08201_027M","B08201_028E","B08201_028M","B08201_029E","B08201_029M","B08201_030E","B08201_030M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!No vehicle available","Margin of Error!!Total:!!No vehicle available","Estimate!!Total:!!1 vehicle available","Margin of Error!!Total:!!1 vehicle available","Estimate!!Total:!!2 vehicles available","Margin of Error!!Total:!!2 vehicles available","Estimate!!Total:!!3 vehicles available","Margin of Error!!Total:!!3 vehicles available","Estimate!!Total:!!4 or more vehicles available","Margin of Error!!Total:!!4 or more vehicles available","Estimate!!Total:!!1-person household:","Margin of Error!!Total:!!1-person household:","Estimate!!Total:!!1-person household:!!No vehicle available","Margin of Error!!Total:!!1-person household:!!No vehicle available","Estimate!!Total:!!1-person household:!!1 vehicle available","Margin of Error!!Total:!!1-person household:!!1 vehicle available","Estimate!!Total:!!1-person household:!!2 vehicles available","Margin of Error!!Total:!!1-person household:!!2 vehicles available","Estimate!!Total:!!1-person household:!!3 vehicles available","Margin of Error!!Total:!!1-person household:!!3 vehicles available","Estimate!!Total:!!1-person household:!!4 or more vehicles available","Margin of Error!!Total:!!1-person household:!!4 or more vehicles available","Estimate!!Total:!!2-person household:","Margin of Error!!Total:!!2-person household:","Estimate!!Total:!!2-person household:!!No vehicle available","Margin of Error!!Total:!!2-person household:!!No vehicle available","Estimate!!Total:!!2-person household:!!1 vehicle available","Margin of Error!!Total:!!2-person household:!!1 vehicle available","Estimate!!Total:!!2-person household:!!2 vehicles available","Margin of Error!!Total:!!2-person household:!!2 vehicles available","Estimate!!Total:!!2-person household:!!3 vehicles available","Margin of Error!!Total:!!2-person household:!!3 vehicles available","Estimate!!Total:!!2-person household:!!4 or more vehicles available","Margin of Error!!Total:!!2-person household:!!4 or more vehicles available","Estimate!!Total:!!3-person household:","Margin of Error!!Total:!!3-person household:","Estimate!!Total:!!3-person household:!!No vehicle available","Margin of Error!!Total:!!3-person household:!!No vehicle available","Estimate!!Total:!!3-person household:!!1 vehicle available","Margin of Error!!Total:!!3-person household:!!1 vehicle available","Estimate!!Total:!!3-person household:!!2 vehicles available","Margin of Error!!Total:!!3-person household:!!2 vehicles available","Estimate!!Total:!!3-person household:!!3 vehicles available","Margin of Error!!Total:!!3-person household:!!3 vehicles available","Estimate!!Total:!!3-person household:!!4 or more vehicles available","Margin of Error!!Total:!!3-person household:!!4 or more vehicles available","Estimate!!Total:!!4-or-more-person household:","Margin of Error!!Total:!!4-or-more-person household:","Estimate!!Total:!!4-or-more-person household:!!No vehicle available","Margin of Error!!Total:!!4-or-more-person household:!!No vehicle available","Estimate!!Total:!!4-or-more-person household:!!1 vehicle available","Margin of Error!!Total:!!4-or-more-person household:!!1 vehicle available","Estimate!!Total:!!4-or-more-person household:!!2 vehicles available","Margin of Error!!Total:!!4-or-more-person household:!!2 vehicles available","Estimate!!Total:!!4-or-more-person household:!!3 vehicles available","Margin of Error!!Total:!!4-or-more-person household:!!3 vehicles available","Estimate!!Total:!!4-or-more-person household:!!4 or more vehicles available","Margin of Error!!Total:!!4-or-more-person household:!!4 or more vehicles available",
"1400000US13121011640","Census Tract 116.40, Fulton County, Georgia","2038","206","82","80","851","225","899","190","189","113","17","27","343","143","16","26","277","118","50","79","0","20","0","20","978","216","22","35","256","155","551","162","132","99","17","27","506","157","44","68","199","122","206","129","57","63","0","20","211","195","0","20","119","146","92","93","0","20","0","20",
"1400000US13121011641","Census Tract 116.41, Fulton County, Georgia","1490","249","0","14","137","67","759","126","317","134","277","240","150","67","0","14","137","67","13","21","0","14","0","14","465","142","0","14","0","14","313","89","87","101","65","48","252","113","0","14","0","14","111","76","116","74","25","41","623","230","0","14","0","14","322","86","114","65","187","229",
"1400000US13121011642","Census Tract 116.42, Fulton County, Georgia","1202","165","40","66","316","183","480","189","271","104","95","93","290","194","0","14","201","169","43","70","46","80","0","14","427","214","40","66","46","80","155","138","96","104","90","92","304","222","0","14","69","106","215","188","20","40","0","14","181","141","0","14","0","14","67","65","109","108","5","47",
"1400000US13121011643","Census Tract 116.43, Fulton County, Georgia","2103","466","78","130","1596","439","244","150","185","284","0","14","1237","490","78","130","953","389","21","44","185","284","0","14","277","215","0","14","197","194","80","86","0","14","0","14","456","259","0","14","420","270","36","64","0","14","0","14","133","129","0","14","26","47","107","119","0","14","0","14",
"1400000US13121011644","Census Tract 116.44, Fulton County, Georgia","1680","287","8","27","979","286","423","170","205","103","65","50","613","265","8","27","550","261","18","33","37","59","0","14","269","152","0","14","215","157","54","65","0","14","0","14","520","263","0","14","214","222","165","127","141","87","0","14","278","110","0","14","0","14","186","99","27","52","65","50",
"1400000US13121011645","Census Tract 116.45, Fulton County, Georgia","1584","181","32","70","461","173","855","345","173","205","63","94","438","167","0","14","398","159","40","63","0","14","0","14","424","198","0","14","63","90","250","181","48","62","63","94","251","247","0","14","0","14","150","129","101","205","0","14","471","228","32","70","0","14","415","259","24","54","0","14",
"1400000US13121011646","Census Tract 116.46, Fulton County, Georgia","1841","453","207","169","516","150","667","181","160","89","291","447","450","148","39","53","344","144","67","62","0","14","0","14","590","220","168","164","125","85","297","139","0","14","0","14","257","107","0","14","28","42","145","79","84","75","0","14","544","464","0","14","19","27","158","107","76","72","291","447",
"1400000US13121011647","Census Tract 116.47, Fulton County, Georgia","1905","288","260","133","855","238","630","285","152","76","8","14","558","155","158","89","377","147","23","31","0","14","0","14","744","335","17","25","271","161","395","266","61","36","0","14","247","162","85","87","45","55","45","54","72","88","0","14","356","174","0","14","162","153","167","83","19","30","8","14",
"1400000US13121011648","Census Tract 116.48, Fulton County, Georgia","757","85","14","22","76","65","430","113","228","90","9","21","9","21","0","14","0","14","0","14","0","14","9","21","197","98","0","14","41","54","139","82","17","28","0","14","244","97","0","14","0","14","132","80","112","82","0","14","307","57","14","22","35","44","159","60","99","50","0","14",
"1400000US13121011649","Census Tract 116.49, Fulton County, Georgia","1768","274","0","14","460","190","896","224","365","137","47","46","176","79","0","14","142","76","23","29","11","19","0","14","871","280","0","14","247","186","469","207","141","117","14","24","256","95","0","14","25","35","127","86","87","65","17","27","465","89","0","14","46","49","277","86","126","86","16","27",
"1400000US13121011650","Census Tract 116.50, Fulton County, Georgia","1816","436","9","20","566","200","948","300","280","268","13","23","403","136","7","11","278","116","118","89","0","14","0","14","658","317","0","14","80","71","564","320","14","27","0","14","424","292","2","17","140","126","61","65","221","274","0","14","331","97","0","14","68","67","205","78","45","43","13","23",
"1400000US13121011651","Census Tract 116.51, Fulton County, Georgia","731","97","26","42","263","112","305","109","137","71","0","14","136","75","26","42","110","75","0","14","0","14","0","14","161","86","0","14","10","19","137","83","14","26","0","14","196","81","0","14","95","74","70","70","31","26","0","14","238","86","0","14","48","50","98","66","92","53","0","14",
